Comment,Description,Designator,Footprint,LibRef,Quantity,Manufacturer Part Number,Manufacturer,Octopart,Digikey Description

"CC0805KRX7R7BB104","CAP CER 0.1UF 16V X7R 0805","C1, C4, C7","FP-CC0805-0_85-MFG","CMP-1036-04402-6","3","CC0805KRX7R7BB104","Yageo","https://octopart.com/cc0805krx7r7bb104-yageo-39467769","CAP CER 0.1UF 16V X7R 0805"
"CBR08C240FAGAC","CAP CER 24PF 250V C0G/NP0 0805","C2, C3","FP-CBR08C-MFG","CMP-03020-025790-1","2","CBR08C240FAGAC","KEMET","https://octopart.com/cbr08c240fagac-kemet-23843296","CAP CER 24PF 250V C0G/NP0 0805"
"08055A4R7CAT2A","","C5","CAPC2013X71X50ML20T25","CMP-1036-00549-2","1","","AVX Interconnect / Elco","",""
"C0805C109C5GACTU","CAP CER 1PF 50V C0G/NP0 0805","C6","FP-C0805C-DN-MFG","CMP-2007-00453-2","1","C0805C109C5GACTU","KEMET","https://octopart.com/c0805c109c5gactu-kemet-130858","CAP CER 1PF 50V C0G/NP0 0805"
"MMSZ5233BT1G","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel","D1","ONSC-SOD-123-2-425-04_V","CMP-1060-00590-1","1","","On Semiconductor","",""
"ASMT-YTD7-0AA02","LED RGB DIFFUSED 6PLCC SMD","D3, D4","FP-PLCC-6-MFG","CMP-18399-000005-1","2","ASMT-YTD7-0AA02","Broadcom","https://octopart.com/asmt-ytd7-0aa02-broadcom-71127359","LED RGB DIFFUSED 6PLCC SMD"
"1054500101","CONN RCP USB3.1 TYPEC 24P SMD RA","J1","FP-1054500101-MFG","CMP-04767-000004-1","1","1054500101","Molex","https://octopart.com/105450-0101-molex-68082325","CONN RCP USB3.1 TYPEC 24P SMD RA"
"150080SS75000","SMD mono-color Chip LED, WL-SMCW, Super Red","LED1","0805_A","CMP-1426-00010-1","1","","Wuerth Elektronik","",""
"TSW-103-07-G-D","Through Hole Header, Pitch 2.54 mm, 2 x 3 Position, Height 8.58 mm, Tail Length 2.54 mm, -55 to 125 degC, RoHS, Bulk","P1","SMTC-TSW-103-07-G-D_V","CMP-2000-07329-1","1","","Samtec-Inc.","",""
"2N7002-T1-E3","N-Channel MOSFET, 115 mA, 60 V, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel","Q1","VISH-TO-236-3_A_L","CMP-2000-05565-1","1","","Vishay","",""
"MMBT3904TT1G","General Purpose Transistor, NPN Silicon, 3-Pin SC-75, Pb-Free, Tape and Reel","Q2","ONSC-SC-75-3-463-01_V","CMP-1048-00420-1","1","","On Semiconductor","",""
"ERA6AEB332V","","R1","RESC2013X60X40NL20T25","CMP-2001-00629-1","1","","Panasonic","",""
"ERJ6ENF1202V","","R2","RESC2013X70X40ML20T20","CMP-2001-00513-1","1","","Panasonic","",""
"CRCW0805100RFKEA","","R3","RESC2013X50X30LL20T20","CMP-2001-04901-1","1","","Vishay Dale","",""
"CRCW1206200RFKEA","RES Thick Film, 200O, 1%, 0.25W, 100ppm/°C, 1206","R4","FP-CRCW1206-e3-IPC_C","CMP-2003-01935-2","1","","","",""
"CRCW08056K80FKEA","RES Thick Film, 6.8kO, 1%, 0.125W, 100ppm/°C, 0805","R5, R8","FP-CRCW0805-e3-IPC_A","CMP-2001-04088-2","2","","","",""
"ERJ-6ENF4701V","Chip Resistor, 4.7 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R6, R7","RESC2013X70X40NL20T20","CMP-2001-00550-5","2","","Panasonic","",""
"CRCW0805160RFKEA","RES Thick Film, 160O, 1%, 0.125W, 100ppm/°C, 0805","R9","FP-CRCW0805-e3-IPC_C","CMP-1013-00418-2","1","","","",""
"CRCW080510K0JNEA","RES Thick Film, 10kO, 5%, 0.125W, 200ppm/°C, 0805","R10, R11, R12, R13","FP-CRCW0805-e3-IPC_C","CMP-2001-04910-2","4","","","",""
"ATtiny85-20SU","8-bit AVR Microcontroller, 20MHz, 2.7-5.5V, 8K Flash, 512 Bytes EEPROM, 512 Bytes SRAM, Industrial Grade (-40°C to 85°C), 8-Lead SOIC, Pb-Free","U1","8S2_M","CMP-0093-00173-2","1","","","",""
"NCP114ASN330T1G","IC REG LINEAR 3.3V 300MA 5TSOP","U2","FP-483-MFG","CMP-07128-000001-1","1","NCP114ASN330T1G","ON Semiconductor","https://octopart.com/ncp114asn330t1g-on+semiconductor-74628742","IC REG LINEAR 3.3V 300MA 5TSOP"
"SN74LVC1G00DBVR","IC GATE NAND 1CH 2-INP SOT23-5","U3","FP-DBV0005A-MFG","CMP-0859-00113-4","1","SN74LVC1G00DBVR","Texas Instruments","https://octopart.com/sn74lvc1g00dbvr-texas+instruments-465560","IC GATE NAND 1CH 2-INP SOT23-5"
"PCA9685PW/Q900,118","16-Channel, 12-Bit PWM Fm+ I2C-Bus LED Controller, 2.3 to 5.5 V, -40 to 85 degC, 28-Pin TSSOP (SOT361-1), RoHS, Tape and Reel","U4","SOT361-1_V","CMP-1595-00002-2","1","","","",""
"HFBR-2521Z","The Versatile Fiber Optic Connection, 5 MBd, -40 to 85 degC, 4-Pin, RoHS, Rail/Tube","U5","BCM-HFBR-2521Z-4","CMP-2000-05068-1","1","","Broadcom","",""
"HFBR-1522Z","The Versatile Fiber Optic Connection, 5 V, -40 to 85 degC, 6-Pin THD, RoHS, Tube","U6","AVAG-HFBR-15X2Z_V","CMP-2000-06401-1","1","","Avago","",""
"ABLS-16.000MHZ-K4T","CRYSTAL 16.0000MHZ 18PF SMD","Y1","FP-ABLS-MFG","CMP-27762-000003-1","1","ABLS-16.000MHZ-K4T","Abracon","https://octopart.com/abls-16.000mhz-k4t-abracon-18618626","CRYSTAL 16.0000MHZ 18PF SMD"
